insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('2','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('105','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('106','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('107','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('108','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('109','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('110','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('111','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('112','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('113','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('114','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('115','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('116','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('117','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('118','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('119','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('120','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('121','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('122','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('123','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('124','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('125','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('126','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('127','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('128','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('129','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('130','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('131','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('132','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('133','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('134','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('135','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('136','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('137','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('138','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('139','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('140','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('141','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('142','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('143','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('144','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('145','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('146','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('147','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('148','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('149','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('150','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('151','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('152','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('153','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('154','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('155','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('156','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('157','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('158','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('159','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('160','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('161','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('162','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('163','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('164','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('165','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('166','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('167','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('168','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('169','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('170','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('171','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('172','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('173','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('174','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('175','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('176','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('177','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('178','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('179','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('180','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('181','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('182','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('183','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('184','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('185','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('186','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('187','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('188','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('189','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('190','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('191','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('192','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('193','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('194','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('195','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('196','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('197','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('198','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('199','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('200','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('201','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('202','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('203','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('204','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('205','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('206','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('207','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('208','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('209','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('210','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('211','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('212','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('213','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('214','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('215','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('216','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('217','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('218','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('219','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('220','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('221','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('222','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('223','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('224','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('225','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('226','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('227','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('228','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('229','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('230','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('231','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('232','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('233','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('234','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('235','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('236','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('237','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('238','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('239','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('240','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('241','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('242','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('243','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('244','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('245','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('246','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('247','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('248','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('249','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('250','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('251','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('252','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('253','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('254','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('255','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('256','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('257','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('258','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('259','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('260','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('261','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('262','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('263','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('264','N0','NO','YES','NO'); 
